Portugal	1.22£126	1.24£40	1.25£10	1.26£429	1.27£433	1.28£7
Uruguay	1.4£244	1.41£826	1.45£61	1.46£155	1.47£295	1.48£219
South Korea	3.45£340	3.5£115	3.55£25	3.8£31	3.85£3	3.95£13
Ghana	3.9£2	3.95£30	4£271	4.2£925	4.4£2	4.5£126
