England				1.01€26559	1.02€3000	1.03€2073
USA	1.94€187	1.95€109	2€38	2.08€578	2.1€94	2.14€100
Iran	2€314	2.02€57	2.04€556	2.16€231	2.18€63	2.2€496
Wales	15€33	21€101	25€24	34€19	990€9	
