Uruguay	1.35€23	1.9€26	1.95€767	1.96€30	1.97€1261	2.08€13
Ghana	2.24€113	2.28€17	2.54€481	2.62€18	2.64€63	2.68€74
South Korea	7.8€67	8.4€101	9.6€67	1000€9		
