England	1.11£314	1.12£7980	1.13£6926	1.14£101	1.15£3562	1.16£100
USA	2.02£44	2.04£816	2.06£11	2.08£416	2.12£3	2.16£183
Wales	2.46£432	2.48£76	2.5£149	2.52£35	2.54£5	2.58£17
Iran	3.85£18	3.9£3	4£499	4.3£39	4.4£5	4.5£88
