Brazil	2.48€35	2.5€1645	2.56€32	2.66€57	2.68€80	2.7€532
France	3.5€35	3.55€278	3.6€151	3.7€487	3.8€57	3.85€140
Spain	4.1€186	4.4€22	4.5€613	4.7€387	5€23	1000€4
England	4.7€26	4.8€27	5€90	5.2€54	5.4€31	5.5€208
Argentina	5€72	5.1€11	5.2€11	5.6€26	5.7€230	5.8€11
Portugal	5.4€17	5.5€63	5.6€51	5.7€23	5.8€1742	6.4€25
Netherlands	6.8€12	7€149	7.4€30	8.8€123	9€11	1000€5
Germany	6.2€13	6.6€116	7€11	7.4€240	7.6€127	9€15
Croatia	19.5€48	20€15	22€24	27€76	30€126	700€5
Denmark	22€85	23€11	24€13	34€137	40€11	
Belgium	25€19	26€23	30€12	50€16	1000€1	
USA	34€19	36€41	38€13	60€67	700€5	
Switzerland	30€19	32€17	36€12	50€33		
Uruguay	25€11	40€13	42€48	60€46	65€11	
Morocco		1.99€3	34€21	70€15	700€1	
Serbia	2€3	34€25	50€44	700€4		
Senegal	21€15	42€14	44€15	70€25		
Poland	2.02€2	40€25	50€15	85€15	700€8	
Mexico			2.02€13	700€5		
Japan	2.06€1	50€17	100€15	700€2		
Saudi Arabia		2.06€1	110€12	700€2		
Ghana		2.06€1	100€18	700€4		
Cameroon		100€11	150€14	990€2		
South Korea			2.06€9	990€2		
Australia		2.06€1	100€19			
Tunisia		2.08€6	100€16			
Costa Rica			250€7			
