Brazil	4.2£37359	4.3£29031	4.4£18418	4.5£8492	4.6£8540	4.7£6647
Argentina	6£922	6.2£2553	6.4£9368	6.6£7364	6.8£1736	7£2592
France	9.6£2318	9.8£4272	10£13798	10.5£13132	11£846	11.5£282
Spain	11£5770	11.5£9997	12£16656	12.5£12712	13£398	13.5£1
England	10.5£1360	11£12860	11.5£6391	12£7901	12.5£2065	13£308
Germany	12£6297	12.5£5719	13£15557	13.5£10387	14£3429	14.5£8
Netherlands	13.5£327	14£992	14.5£9409	15£8311	15.5£473	16£16056
Portugal	15.5£1224	16£4229	16.5£3780	17£1278	17.5£808	18£68
Belgium	21£1890	22£3166	23£824	24£783	25£1032	26£309
Denmark	30£393	32£2119	34£6406	38£1357	40£243	42£71
Uruguay	42£121	44£651	46£609	48£199	50£480	55£417
Croatia	65£1054	70£1663	75£1692	80£311	85£793	90£151
Serbia	85£170	90£98	95£151	100£34	110£106	120£38
Switzerland	130£257	140£47	150£115	160£51	170£130	180£36
Senegal	150£387	160£162	170£53	190£36	200£15	250£2
Ecuador	140£234	150£70	160£152	170£31	180£128	190£207
Mexico	160£2	190£17	200£96	210£32	220£43	230£2
USA	190£3	200£71	210£126	220£39	230£36	240£41
Poland	280£105	290£96	300£13	310£76	320£87	350£6
Wales	240£34	250£57	260£12	280£14	300£8	310£10
Morocco	400£57	410£61	420£27	430£66	440£9	450£7
Japan	470£61	480£9	490£22	510£474	540£56	550£2
Australia	480£25	490£26	500£2	520£14	530£10	540£5
Cameroon	620£24	630£17	640£10	660£6	670£8	680£9
South Korea	630£17	640£18	650£22	680£3	690£8	710£11
Ghana	700£110	710£25	720£5	740£6	750£5	770£9
Iran	560£17	570£14	580£93	590£25	620£5	650£6
Canada	780£24	790£15	800£80	810£1	820£6	830£10
Qatar	610£2	750£5	1000£297			
Tunisia	710£4	720£1	1000£781			
Saudi Arabia	500£2	600£1	1000£686			
Costa Rica	500£2	600£1	1000£741			
