Kylian Mbappe	1.77€56	1.78€382	1.8€374	1.82€285	1.83€333	1.84€298
Lionel Messi	2.94€116	3€330	3.05€918	3.15€964	3.25€78	3.3€32
Olivier Giroud	10.5€87	11€253	11.5€67	12€124	12.5€65	13€73
Julian Alvarez	25€118	26€79	27€22	28€52	30€108	38€61
Youssef En-Nesyri	95€17	230€13	270€12	460€12	900€37	
Antoine Griezmann	1.01€2330	100€16	210€17	990€1		
Andrej Kramaric		55€2	500€14			
Ivan Perisic		55€2	500€13			
Lautaro Martinez	8.8€11	18€27	1000€21			
Angel Di Maria		1.01€1166	1000€25			
Sofiane Boufal		1.01€1167	1000€24			
Kingsley Coman		1.01€1163	1000€49			
Hakim Ziyech	200€23	810€18	1000€12			
Achraf Hakimi		1.01€1163	1000€32			
Ousmane Dembele	2€124	300€17	1000€19			
Luka Modric			60€12			
Marko Livaja		60€1	1000€26			
