Brazil	1.67£23	1.8£214	1.81£138	1.83£203	1.84£32	1.88£1222
France	2.78£21	2.82£80	2.84£260	2.86£25	2.88£196	2.9£50
Portugal	2.9£109	2.98£87	3£2	3.1£2097	3.2£200	3.3£197
England	3.65£3	3.7£28	3.75£150	3.85£110	3.95£1	4£172
Argentina	3.75£30	3.8£99	3.85£400	3.9£47	3.95£83	5.8£11
Netherlands	6.8£142	7.2£43	7.4£214	7.8£31	8£3	8.2£59
Morocco	12.5£25	13£35	13.5£111	14£306	16£103	16.5£30
Croatia	14£4	16.5£25	17£130	21£10	22£79	24£25
