Spain	1.14£1344	1.15£30	1.16£277	1.18£1071	1.22£6	1.23£300
Germany	1.16£270	1.17£516	1.18£807	1.2£30	1.28£5	
Japan	3.9£25	4£97	4.2£4	4.5£357	4.6£1	4.7£25
Costa Rica	13£23	14£252	16£94	17£8	18£69	18.5£1
