Portugal	1.07£1	1.08£500	1.09£153	1.1£539	1.11£344	1.12£100
Uruguay	1.68£5	1.7£157	1.71£500	1.75£5	1.77£23	1.78£41
South Korea	2.84£2	2.9£119	2.92£260	3.2£4	3.25£7	3.3£5
Ghana	4.8£97	4.9£76	5£17	5.9£500	6£84	6.6£25
