Brazil	1.14€170	1.17€525	1.18€2318	1.21€316	1.22€706	1.24€232
Argentina	1.62€84	1.63€325	1.64€13	1.65€28	1.68€11	1000€6
France	1.73€138	1.75€196	1.76€90	1.8€78	1.82€42	1.83€53
Spain	1.97€13	2€46	2.08€265	2.16€24	2.26€29	2.32€11
England	2.24€34	2.26€50	2.28€191	2.3€58	2.32€88	2.34€26
Netherlands	2.38€17	2.52€12	2.54€596	2.62€16	2.64€24	2.7€378
Portugal	2.74€55	2.9€224	2.94€52	2.98€429	3.1€11	3.2€16
Croatia	5.6€262	5.7€60	5.8€48	8.4€114	8.6€15	9€100
Switzerland	1.01€1161	7.2€87	8.4€20	11€18	11.5€12	
Morocco	9.6€56	10€24	11€62	13€29	21€15	26€6
