Switzerland	1.49€583	1.6€204	1.62€596	1.68€11	1.69€17	1.72€198
Serbia	2.54€18	2.7€268	2.72€295	2.8€13	2.9€70	2.94€53
Cameroon	1.01€15	21€32	25€23	38€129	1000€4	
