Brazil	3.5€1219	3.55€6639	3.6€15064	3.65€12134	3.7€7146	3.75€3620
Argentina	5.9€4619	6€28987	6.2€11679	6.4€9922	6.6€4266	6.8€2377
France	6€1597	6.2€5061	6.4€30330	6.6€5542	6.8€4747	7€9154
Spain	8€220	8.2€7038	8.4€2403	8.6€1890	8.8€558	9€167
England	9.4€1446	9.6€2549	9.8€1761	10€4851	10.5€15266	11€19035
Portugal	13.5€46	14€2216	14.5€4304	15€404	15.5€1822	16€941
Netherlands	15€758	15.5€611	16€755	16.5€253	17€628	17.5€350
Croatia	40€3096	42€1764	44€382	46€154	48€96	50€39
Japan	80€1218	85€897	90€470	95€239	100€541	110€129
Switzerland	85€301	90€646	95€208	100€325	110€447	120€296
Morocco	110€123	120€410	130€138	140€431	150€448	160€167
Senegal	130€70	140€321	150€245	160€381	170€11	180€111
South Korea	210€239	220€73	230€30	260€47	280€15	290€37
Poland	280€32	290€32	300€159	330€66	340€187	350€39
