Kylian Mbappe	1.56€316	1.57€50	1.58€97	1.6€85	1.61€46	1.63€129
Lionel Messi	4.3€168	4.4€370	4.6€170	4.7€19	4.8€171	4.9€82
Olivier Giroud	8.6€51	8.8€52	9€16	9.6€133	9.8€44	10€79
Julian Alvarez	1.22€189	26€18	110€12	600€13	700€2	
Youssef En-Nesyri	95€17	140€15	160€21	1000€4		
Antoine Griezmann	1.22€185	100€11	200€14			
Luka Modric	1.22€185	5€150	150€25			
Andrej Kramaric	1.22€185	100€18	120€16	330€14	1000€1	
Marko Livaja	1.22€194	480€17	510€22			
Lautaro Martinez	1.22€184	2.02€40	18€28			
Angel Di Maria		1.01€1162	1.22€192			
Sofiane Boufal	1.01€1162	1.22€187	1000€28			
Kingsley Coman	1.01€1162	1.22€184	1000€27			
Ivan Perisic	100€13	190€42	320€58	1000€2		
Hakim Ziyech	1.01€1162	1.22€188	100€16			
Achraf Hakimi		1.01€1162	1.22€192			
Ousmane Dembele	2€121	100€15	300€20			
