Argentina	1.16€584	1.19€69	1.2€645	1.23€388	1.24€537	1.25€54
Poland	1.43€48	1.44€55	1.49€25	1.53€578	1.55€388	1.56€48
Mexico	3.45€138	3.8€20	3.85€155	4.2€388	4.3€13	4.8€16
Saudi Arabia	3.7€180	3.75€476	3.85€267	4.1€274	4.2€50	4.8€24
