Brazil	2.3€33	2.5€2906	2.52€200	2.64€11	2.68€30	2.7€529
France	3.45€221	3.5€164	3.55€11	3.7€14	3.75€166	3.8€57
Spain	3.85€26	4.4€22	4.5€153	4.6€11	4.7€388	5€23
Argentina	5.1€108	5.2€29	5.3€21	5.5€23	6€50	120€116
England	4.7€11	4.8€154	5.5€14	6.2€29	6.4€11	6.6€113
Portugal	4.5€24	5€26	5.5€99	6.4€25	1000€8	
Germany	2.18€40	5.4€66	5.5€11	7€11	7.6€27	8€80
Netherlands	5.7€14	7€93	7.2€15	8.2€53	8.4€11	1000€1
Croatia	19.5€26	20€14	24€14	32€51	700€5	
Denmark	22€85	23€20	25€15	34€35	40€11	
Belgium	22€90	26€19	30€14	50€11	1000€1	
Ecuador	3.25€5	32€11	34€14	46€18	700€4	
Serbia		3.25€5	34€14	80€11	700€2	
Switzerland		3.3€4	32€25	50€36		
Uruguay	3.3€3	17€37	40€23	65€11	1000€4	
Morocco		3.3€3	34€14	70€15	700€1	
Poland		3.4€13	50€29	700€7		
Mexico		3.5€12	100€12	700€1		
USA	3.45€1	60€11	75€14	700€5		
Japan	3.5€1	42€11	50€17	700€6		
Ghana		3.5€1	100€16	700€3		
Iran		3.5€1	100€13	350€13		
Senegal	2€12	50€17	100€13	1000€8		
Saudi Arabia		3.5€1	100€18	700€1		
South Korea			990€7			
Cameroon		3.55€1	100€22	990€2		
Australia		3.55€1	100€18	700€2		
Wales			65€35	990€1		
Tunisia		3.55€6	100€14			
Costa Rica			300€9			
