Kylian Mbappe	1.63€128	1.64€411	1.65€217	1.7€162	1.71€132	1.72€311
Richarlison	8.2€68	9.2€11	9.4€34	9.6€121	9.8€38	10€307
Lionel Messi	8.2€32	11.5€57	13.5€84	14.5€63	15€263	15.5€92
Olivier Giroud	26€14	29€30	30€60	34€14	36€91	44€11
Goncalo Ramos	30€47	32€40	34€105	36€61	38€39	40€319
Bukayo Saka	34€68	36€14	38€17	46€17	48€17	50€12
Marcus Rashford	30€35	32€47	38€27	50€18	90€11	1000€9
Cody Gakpo	30€36	40€14	42€70	48€22	60€19	70€103
Harry Kane	42€30	50€18	55€57	80€41	85€38	90€28
Neymar	36€17	50€20	75€109	110€32	120€66	130€15
Vinicius Junior	16€11	55€11	90€12	300€11	1000€11	
Julian Alvarez	50€22	75€12	100€76	180€15	490€19	
Bruno Fernandes	80€34	90€15	140€16	390€12	1000€10	
Rafael Leao	80€13	100€115	120€13	780€12	1000€4	
Andrej Kramaric	85€12	120€69	130€14	1000€1		
Phil Foden	110€18	140€27	150€70	1000€11		
Memphis Depay	85€14	160€13	170€14	1000€4		
Cristiano Ronaldo	20€17	75€13	150€56	1000€11		
Lautaro Martinez	18€20	100€11	110€18			
Joao Felix	2€14	160€37	280€40			
Raheem Sterling	1.01€1163	100€18	310€11	500€1		
Steven Bergwijn		1.01€1169	150€13			
Antoine Griezmann	1.01€1166	100€20	360€13			
Marko Livaja		2€8	510€20			
Youssef En-Nesyri		1.01€1166	610€24			
Ousmane Dembele	1.02€1159	2€124	700€14			
Bernardo Silva		1.01€1162	1000€16			
Sofiane Boufal		1.01€1162	1000€22			
Jack Grealish		1.01€1163	1000€18			
Kingsley Coman		1.01€1159	1000€30			
Wout Weghorst		1.01€1165	1000€22			
Luuk de Jong		1.01€1159	1000€25			
Ivan Perisic		1.01€1164	1000€14			
Hakim Ziyech	1.01€1159	2€11	1000€20			
Andre Silva		1.01€1163	1000€20			
Mason Mount		1.01€1163	1000€19			
Achraf Hakimi		1.01€1159	1000€25			
James Maddison		1.01€1162	1000€24			
Luka Modric			1.01€1171			
Angel Di Maria		1.01€1159	260€16			
Pedro Abreu dos Santos			1.01€1169			
Gabriel Jesus	1.01€1162	9€59	100€18			
Raphinha		1.01€1162	100€20			
Gabriel Martinelli			1.01€1169			
Vincent Janssen	1.01€1159	50€27	1000€29			
Davy Klaassen			1000€24			
