Brazil	1.08£4013	1.09£7464	1.1£9497	1.11£5328	1.12£2494	1.13£5114
Serbia	2£6	2.02£438	2.08£856	2.12£3	2.14£162	2.2£102
Switzerland	2.08£89	2.1£528	2.12£3	2.2£3	2.22£3	2.24£38
Cameroon	5.8£22	5.9£103	6£122	6.6£4	6.8£32	7.2£77
