Kylian Mbappe	7.6£2	7.8£10	8£184	8.4£9	8.6£250	8.8£2
Stephen Eustaquio		1.01£1000	1000£72			
Achraf Hakimi		1.01£1000	1000£69			
Gyasi Zardes		1.01£1000	1000£72			
Paul Arriola		1.01£1000	1000£72			
Alphonso Davies	1.01£1000	540£1	1000£56			
Salem Al-Dawsari		1.01£1000	1000£55			
Seifeddine Jaziri		1.01£1000	1000£71			
Akram Afif		1.01£1000	1000£53			
Thomas Partey		1.01£1000	1000£72			
Junior Hoilett	1.01£1000	560£1	1000£71			
Saleh Al-Shehri		1.01£1000	1000£54			
Famara Diedhiou		1.01£1000	1000£52			
Arkadiusz Milik		1.01£1000	1000£53			
Kieffer Moore	1.01£1000	810£5	1000£34			
Mohammed Kudus		1.01£1000	1000£64			
Lois Openda	500£2	560£2	1000£37			
James Maddison	1.01£1000	2£2	1000£51			
Vincent Janssen	50£20	95£3	1000£56			
Aaron Ramsey			1000£69			
Marko Livaja	2£2	550£9	1000£32			
