Belgium	1.23£194	1.24£4035	1.26£38	1.27£500	1.28£140	1.32£24
Croatia	1.53£5	1.59£341	1.6£63	1.62£10	1.63£45	1.64£70
Morocco	2.78£9	2.8£20	2.82£6	3£153	3.1£164	3.15£10
Canada	3.75£19	3.8£4	3.85£8	4.4£2	4.5£194	4.8£11
