Netherlands			1.01£99	1.02£314	1.03£931	1.07£248
Ecuador	1.39£258	1.42£3	1.43£497	1.46£10	1.47£172	2.1£5
Senegal	3£153	3.1£91	3.15£1	3.35£516	3.45£3	3.6£4
