Belgium	1.12£597	1.13£14	1.15£587	1.17£300	1.19£3	1.21£79
Croatia	1.75£50	1.85£483	1.87£3	1.9£199	1.96£3	2.04£53
Morocco	2.58£20	2.6£41	2.62£33	2.92£2	2.96£500	2.98£150
Canada	3.55£98	3.9£263	3.95£109	4.2£20	4.3£12	4.8£5
