Brazil	3.5€22145	3.55€18954	3.6€125	3.65€10278	3.7€16638	3.75€3323
France	6.4€2860	6.6€21518	6.8€11437	7€13931	7.2€3319	7.4€569
Spain	8.4€11781	8.6€8188	8.8€111	9€7231	9.2€2312	12€54
Argentina	9.6€17	9.8€9663	10€17182	10.5€9273	11€6265	12€80
England	9.6€1421	9.8€1718	10€22015	10.5€13690	11€7022	11.5€4313
Portugal	13€2053	13.5€3686	14€2999	14.5€5883	15€1128	17.5€35
Germany	14€417	14.5€729	15€4425	15.5€2795	16€6756	16.5€57
Netherlands	17€23	17.5€414	18€1544	18.5€691	19€3366	19.5€871
Croatia	55€129	60€567	65€711	70€806	75€292	80€25
Belgium	65€66	70€236	75€405	85€546	90€224	95€106
Denmark	65€1002	70€953	75€718	80€700	85€695	90€114
USA	120€305	130€204	140€650	150€66	160€333	170€202
Uruguay	100€130	130€159	140€304	160€336	170€141	190€66
Switzerland	120€128	130€242	140€159	150€18	160€285	170€78
Senegal	160€90	170€42	180€21	200€13	210€14	230€33
Morocco	160€22	170€113	180€273	190€68	200€299	220€54
Poland	210€27	220€138	230€186	250€37	260€19	280€34
Serbia	210€11	220€20	230€12	250€115	260€34	280€18
Ghana	450€330	460€26	480€34	570€15	600€13	690€11
Australia	250€22	300€14	440€15	530€46	540€12	580€43
Mexico	140€20	600€192	620€15	700€12	750€27	800€19
Japan	610€13	700€69	740€17	780€18	800€29	810€64
Saudi Arabia	350€121	500€19	580€14	790€13	820€20	870€13
Cameroon	400€11	560€216	1000€832			
Tunisia	400€14	450€25	1000€614			
South Korea	220€12	470€22	1000€484			
Costa Rica	400€13	720€22	1000€1610			
