Kylian Mbappe	3.45€93	3.5€64	3.55€73	3.65€36	3.7€571	3.8€49
Lionel Messi	7€204	7.2€17	7.4€163	9€117	9.8€50	10.5€53
Alvaro Morata	10.5€12	11.5€67	12€33	13€12	20€14	22€29
Richarlison	11€11	12€35	12.5€52	13.5€284	14€18	16€15
Marcus Rashford	13€99	13.5€119	14€195	15€125	15.5€18	17€17
Cody Gakpo	18.5€17	19€15	21€29	36€13	75€5	
Olivier Giroud	9.2€18	26€38	28€21	32€13	38€16	40€20
Julian Alvarez	32€22	38€19	42€21	700€11	900€3	
Bruno Fernandes	40€11	42€17	46€19	50€20	75€10	
Harry Kane	38€23	46€29	55€72	70€14	100€17	990€6
Bukayo Saka	36€19	42€32	46€42	65€14	250€12	
Cristiano Ronaldo	36€77	42€15	44€26	48€17	60€12	65€134
Ferran Torres	23€55	25€28	32€16	38€182	44€12	140€14
Andrej Kramaric	1.01€1168	48€19	65€25	130€18		
Memphis Depay	70€24	80€19	85€18	200€25	900€2	
Vinicius Junior	8.2€18	60€20	80€21	280€7		
Breel Embolo	50€14	65€21	80€29	190€6		
Neymar	5€116	10€66	75€37	380€11	990€3	
Phil Foden	75€116	85€18	95€18	250€13	1000€1	
Lautaro Martinez	18€20	100€11	120€19	990€11		
Antoine Griezmann	1.01€1173	100€15	120€13	1000€7		
Rafael Leao		1.01€1170	75€19	1000€1		
Raheem Sterling	1.01€1167	100€15	140€14	1000€3		
Hakim Ziyech	1.01€1171	100€11	110€14			
Joao Felix	1.01€1171	75€11	170€16	370€1		
Robert Lewandowski	1.01€1172	20€37	100€20	570€14	1000€4	
Gabriel Martinelli		1.01€1169	120€24	600€2		
Raphinha	1.01€1169	100€15	290€14	1000€6		
Pedro Abreu dos Santos		1.01€1167	2€11			
Marco Asensio	65€14	100€16	310€16	1000€1		
Dani Olmo	2€10	100€17	310€18			
Ritsu Doan			100€11	1000€2		
Youssef En-Nesyri	1.01€1170	100€11	230€14			
Steven Bergwijn			1.01€1177			
Jack Grealish	40€36	250€47	420€24	1000€3		
Marko Livaja	2€4	100€14	400€27	900€11		
Gabriel Jesus	1.01€1170	9€59	100€23			
Angel Di Maria		1.01€1167	260€13			
Ismaila Sarr	1.01€1175	100€17	420€14	1000€1		
Ousmane Dembele		1.01€1171	100€21	1000€3		
Son Heung-Min		1.01€1167	23€20			
Takuma Asano		2€2	400€15			
Andre Silva			1.01€1177			
Ivan Perisic			1.01€1178			
Karim Benzema		1.01€1172	80€12			
Haris Seferovic		1.01€1167	1000€50			
Bernardo Silva		1.01€1173	1000€14			
Gerard Moreno		1.01€1167	1000€79			
Sofiane Boufal		1.01€1172	1000€20			
Kingsley Coman	300€13	550€21	1000€41			
Wout Weghorst			1.01€1178			
Takumi Minamino		1.01€1167	1000€45			
Luuk de Jong		1.01€1167	1000€44			
Krzysztof Piatek		1.01€1168	1000€65			
Mason Mount		1.01€1167	2€13			
Hwang Hee-Chan		1.01€1168	1000€70			
Luka Modric			1.01€1178			
Yuya Osako		1.01€1167	1000€69			
Xherdan Shaqiri		1.01€1169	1000€54			
Achraf Hakimi		1.01€1167	1000€77			
Famara Diedhiou			1.01€1177			
Boulaye Dia		1.01€1169	1000€17			
Pablo Sarabia		1.01€1170	1000€12			
Arkadiusz Milik		1.01€1167	1000€60			
Ansu Fati		1.01€1169	180€12			
James Maddison		1.01€1170	1000€61			
Vincent Janssen	1.01€1167	50€27	1000€65			
Junya Ito		2€10	1000€28			
Daizen Maeda		2€2	1000€18			
Davy Klaassen		400€20	1000€44			
