Switzerland	1.6€200	1.61€115	1.64€371	1.67€89	1.72€201	1000€34
Serbia	1.01€36	2.54€23	2.8€201	2.9€47	4.4€14	
Cameroon	18€25	22€14	23€14	29€238	1000€6	
