England	1.02£12891	1.03£1886	1.04£479	1.06£5909	1.07£132	1.09£225
USA	1.96£158	1.98£155	2£23	2.04£83	2.08£22	2.16£113
Wales	2.3£117	2.34£188	2.36£272	2.42£250	2.54£129	2.6£18
Iran	6£7	6.4£26	6.6£37	7.6£2	8.6£10	8.8£5
