Spain	1.07£52	1.08£500	1.09£995	1.1£11	1.13£104	1.8£16
Japan	1.33£180	1.36£1	1.37£500	1.4£47	1.48£6	1.49£172
Germany	2.24£172	2.44£2	2.9£216	3.05£394	3.4£5	3.45£80
Costa Rica	15£19	50£10	55£9	100£10	750£2	
