Brazil	2.62£10	2.64£5	2.66£4	2.7£14	2.74£96	2.82£1
France	2.02£55	3£1	3.35£3	3.5£50	3.55£14	3.65£52
England	5.2£48	5.4£6	5.5£1	5.6£6	6£8	6.4£6
Spain	3.5£20	4£10	4.3£3	4.7£8	5£2	5.1£10
Argentina	4.5£10	5£23	5.1£1	5.4£7	6£20	11£1
Netherlands	6£2	7.2£6	7.4£1	7.8£5	8.4£10	
Portugal	6£21	6.2£4	6.4£350	6.6£2	7.2£10	70£3
Belgium	3£19	7.6£5	7.8£20	9.8£3	12£1	19£2
Germany	9£10	11.5£3	12£30	14.5£3	15£5	15.5£145
Denmark	14£2	22£74	23£20	25£1	40£10	
Uruguay	17£29	17.5£1	22£15	26£1	34£5	36£5
Croatia	4£6	21£5	22£5	28£1	40£1	42£4
Serbia	17£18	34£5	42£2	60£5	65£5	
Japan	4.4£3	30£10	42£10	55£1	80£2	120£5
Switzerland	4.3£4	28£9	32£7	44£2	46£5	50£26
Ecuador	3.85£10	12£10	17£10	46£5	48£3	50£5
Mexico	44£1	100£3	110£5	250£1		
Senegal	50£15	70£3	75£1	160£1		
Poland	4.6£1	40£10	75£5	150£4		
USA	34£10	40£15	60£2	75£4	130£5	
Morocco	4.6£2	55£5	60£1	120£2		
Wales		65£28	200£1	400£1	990£1	
Saudi Arabia	4.7£2	70£5	85£5	350£2		
Tunisia	55£5	140£2	250£2			
Costa Rica			500£3			
Iran		4.8£1	150£1	200£3	350£2	
Ghana		4.7£1	100£10	390£1		
Cameroon			150£10			
South Korea	60£1	100£3	120£2	350£2		
Canada	80£2	100£1	110£3	250£1		
Australia		40£8	110£1			
