Argentina	1.17€24	1.19€60	1.2€338	1.22€300	1.23€500	1.25€39
Poland	1.44€165	1.45€252	1.46€55	1.48€249	1.52€12	1.54€23
Mexico	1.13€16	3.85€155	4€103	4.2€100	4.3€200	4.6€38
Saudi Arabia	3.7€608	3.75€97	3.8€97	3.9€168	3.95€286	4.1€235
