Brazil	2.88£56	3£10	3.05£142	3.2£199	3.25£461	3.3£118
Argentina	3.5£115	3.55£13	3.8£25	5£10	5.5£3	
France	4.4£11	4.5£12	4.8£1	5£78	5.1£7	5.2£3
England	4£17	4.4£26	4.5£35	4.9£50	5£79	5.1£34
Spain	3.5£10	5.2£4	5.4£21	5.9£25	6£20	
Germany	5.7£201	6£26	6.2£8	7£10	7.8£20	
Netherlands	6£13	6.4£10	6.6£8	7.6£43	7.8£3	
Portugal	6.8£143	7.4£45	7.6£117	7.8£25	8.8£1	9£10
Belgium	7.6£5	8.8£16	9£9	10£10	10.5£10	11£8
Denmark	9£10	10£10	11£100	11.5£7	14£23	17.5£3
Uruguay	17£34	17.5£107	18£108	18.5£11	21£10	23£7
Croatia			20£4	30£11	32£30	42£4
Serbia			34£6	48£1	55£5	60£3
Switzerland	36£5	40£5	42£3	65£5		
Ecuador	34£5	46£25	48£12	65£15	95£5	110£5
Mexico			20£11	40£1	60£1	65£5
Senegal	40£20	48£8	50£2	100£4		
Poland			46£5	65£94	85£5	90£4
USA	60£14	65£5	70£1	90£2	110£4	
Wales		65£28	75£5	120£5		
Morocco		100£12	110£1	150£15	180£4	
Japan			110£4	200£5		
Iran			140£3	1000£1		
Canada			150£6	250£4	350£3	500£3
Cameroon		100£2	160£4	290£3	300£3	
Ghana		95£3	170£4	190£1		
Australia			170£4	330£1		
Tunisia			1.01£3384	530£2		
South Korea	95£12	100£2	190£2	350£2		
Costa Rica			100£2	530£2	660£2	
Saudi Arabia			65£5			
Qatar		190£4	270£6			
