Brazil	1.94£3	1.96£25	1.99£67	2.08£3	2.1£11	2.18£23
France	2£1000	2.3£10	2.4£15	2.42£61	2.44£156	2.46£78
England	2.48£34	2.58£7	2.6£507	2.74£15	2.76£9	2.84£10
Netherlands	2.64£7	2.78£10	2.8£16	3.15£24	3.2£4	3.4£10
Spain	2.96£58	2.98£237	3£78	3.2£4	3.25£10	4.9£3
Argentina	3.05£25	3.2£64	3.25£440	3.4£10	3.5£10	3.6£3
Germany	3.2£134	3.4£22	3.45£1	3.75£25	3.85£4	3.9£20
Portugal	1.4£62	3.7£16	3.75£14	4£10	4.4£4	4.5£10
Belgium	4.4£191	4.5£30	4.6£156	4.9£5	5£2	5.2£10
Denmark	5.4£227	5.5£1	6£2	7£10	10£3	
Uruguay	6.6£63	6.8£13	7£5	8£13	8.2£10	8.6£20
Serbia	8£20	8.2£5	11£2	11.5£3	12£17	17£2
Croatia	9£86	9.2£55	9.4£5	10£8	11£3	11.5£10
Ecuador	12£7	14£10	14.5£1	16£4	17£4	18£64
Switzerland	8£10	12.5£8	13£7	15£5	17£3	17.5£6
USA	8£11	12.5£10	13£3	18.5£23	19£10	19.5£5
Mexico	14.5£13	15£5	17£3	19£23	19.5£10	20£3
Poland	16£10	16.5£5	18£3	24£24	25£5	27£2
Senegal	18£2	19£3	22£2	25£4	26£3	28£5
Wales	22£8	23£5	24£3	27£2	30£3	40£4
Tunisia	27£5	28£1	30£3	50£2	55£68	60£3
Morocco	25£5	26£9	27£2	30£36	40£5	42£5
Ghana	26£4	27£5	48£4	50£27	55£2	85£3
Australia	29£4	32£5	38£14	100£1	150£1	200£1
Saudi Arabia	29£42	30£4	32£1	40£3	44£2	
Canada	2.08£5	26£10	29£7	50£110	55£6	75£4
Japan	2.1£5	29£6	30£5	36£5	38£1	40£4
Cameroon	26£4	40£5	44£3	70£1	80£2	90£4
South Korea	2.16£3	26£6	50£7	65£1	70£34	75£4
Iran	2.18£2	70£2	75£5	160£1	250£1	490£40
Qatar		100£5	200£3	800£1	900£2	
Costa Rica	140£1	200£1	210£4	300£1	350£1	500£2
