Netherlands			1.01£89	1.02£10	1.03£924	1.08£1
Ecuador	1.39£258	1.41£5	1.44£500	1.46£4	1.47£177	2.1£5
Senegal	3£137	3.05£13	3.1£40	3.2£416	3.35£24	5.8£4
