Lionel Messi	1.83€100	1.84€377	1.85€64	1.86€356	1.9€132	1.91€2531
Kylian Mbappe	2.52€21	2.56€35	2.58€595	2.68€48	2.7€296	2.74€104
Julian Alvarez	17€367	19.5€38	22€105	26€12	28€15	29€13
Olivier Giroud	21€162	22€39	23€34	28€11	30€59	32€11
Andrej Kramaric		2€25	100€12			
Antoine Griezmann	120€12	130€12	1000€24			
Lautaro Martinez	8.8€11	18€21	1000€16			
Angel Di Maria	1.01€1159	2€26	1000€42			
Sofiane Boufal	1.01€1159	2€27	1000€40			
Youssef En-Nesyri	70€11	170€11	200€12			
Kingsley Coman	1.01€1159	2€24	1000€55			
Ivan Perisic		2€24	1000€43			
Hakim Ziyech	2€35	810€17	1000€23			
Luka Modric		2€24	1000€39			
Achraf Hakimi	1.01€1159	2€24	1000€35			
Ousmane Dembele	1.02€1159	2€147	1000€21			
Marko Livaja		2€24	1000€56			
