Portugal	1.07£7	1.08£577	1.09£142	1.1£2	1.11£344	1.12£91
Uruguay	1.66£1	1.67£314	1.7£66	1.73£23	1.74£3	1.76£58
South Korea	2.76£10	2.78£90	2.9£371	3.05£2	3.1£50	3.2£3
Ghana	5.1£118	5.6£3	5.9£17	6.2£5	6.4£25	6.8£16
