Belgium	1.12£2592	1.13£4	1.14£3	1.15£500	1.16£7	1.18£68
Croatia	1.83£6	1.85£488	1.89£372	1.97£5	2.02£1	2.04£2
Morocco	2.62£3	2.66£3	2.68£297	2.88£3	2.92£1	2.98£10
Canada	3.65£70	3.9£10	4£20	4.2£68	4.3£20	4.7£1
