Brazil	1.8£996	1.85£534	1.86£198	1.92£20	2.24£5	2.26£9
France	2.22£25	2.28£6	2.34£2	2.48£3	2.6£5	2.62£115
England	2.46£30	2.5£20	2.66£62	2.7£4	2.76£50	2.88£7
Spain	2.64£5	2.94£1033	2.96£28	3.2£3	3.25£10	4.9£5
Netherlands	2.78£10	2.9£23	2.94£177	3.95£4	4£15	8£2
Portugal	3.05£4	3.2£2	3.3£7	7.8£12		
Argentina	2.7£25	2.74£20	3.1£73	3.75£10	5.7£3	5.8£4
Belgium	3.25£24	3.6£19	3.75£5	4.8£10	4.9£5	6£2
Denmark	4.1£4	6£1	6.2£2	7£10	7.8£3	8£10
Germany	5.1£2	5.5£11	5.6£11	7.8£7	8£5	9£10
Uruguay	7£3	9£10	9.4£2	12.5£3	13£31	
Switzerland	9£10	9.2£5	11£9	12£10	13£6	
Croatia	7.2£1	8£2	10.5£4	14£2		
Japan	7£25	8£10	10£5	13£11	13.5£5	14.5£5
Ecuador		9£10	9.2£10	14£4	40£2	
Serbia	6£10	6.2£5	13£6	16£6	17£2	
USA	9£20	11£20	11.5£2	15£13	19.5£3	20£15
Mexico			13£10	19£2	19.5£6	20£5
Poland			11£19			
Wales	40£1	65£3	80£3	350£1		
Senegal	18£2	22£7	23£5	40£2		
Saudi Arabia		8£4	15£5			
Morocco	13.5£16	20£5	22£10	32£2	34£1	50£30
Canada			17£10	65£1	80£5	
Tunisia	27£5	34£6	50£4			
South Korea	21£6	25£2	30£5	46£48	75£4	
Ghana	26£4	50£1	60£3	100£1	250£2	
Australia			29£8			
Cameroon	17£4	65£5	90£2	500£2		
Iran			1.01£2	95£2		
Costa Rica		200£4	250£1	990£2		
