Portugal	1.21£38	1.22£18	1.25£2646	1.27£480	1.28£84	1.29£514
Uruguay	1.4£244	1.41£718	1.42£530	1.45£36	1.46£474	1.47£550
South Korea	3.65£3	3.7£30	3.75£230	3.95£1	4£69	4.1£159
Ghana	3.85£129	4£202	4.1£24	4.2£840	4.4£171	4.5£150
