Netherlands	1.01£12102	1.02£392	1.03£177	1.05£11	1.06£15	1.07£179
Ecuador	1.51£7	1.52£126	1.54£10	1.59£49	1.61£117	1.64£243
Senegal	2.68£34	2.72£3	2.74£287	2.78£2	2.8£40	2.82£25
Qatar	20£5	24£43	25£4	34£6	36£8	48£38
