Brazil	1.08£4009	1.09£9203	1.1£9530	1.11£6935	1.12£582	1.13£5175
Serbia	2.08£838	2.1£115	2.12£34	2.16£234	2.18£60	2.2£100
Switzerland	2.06£5	2.1£528	2.12£20	2.16£1	2.2£3	2.22£33
Cameroon	5.8£31	5.9£104	6£121	6.6£1	6.8£38	7£4
