Brazil	3.65€2468	3.7€14052	3.75€6189	3.8€212	3.85€20691	3.9€8812
France	6€12940	6.2€3483	6.4€10510	6.6€3563	6.8€5484	7€724
Argentina	6€2507	6.2€1072	6.4€3073	6.6€15052	6.8€2141	7€2646
Spain	9.2€860	9.4€2615	9.6€2749	9.8€90	10€2908	10.5€718
England	10€9565	10.5€13223	11€4814	11.5€5521	12€1161	12.5€59
Portugal	13.5€1325	14€3459	14.5€3803	15€2414	15.5€2744	17.5€43
Germany	14.5€399	15€1774	15.5€626	16€2822	16.5€2919	17€580
Netherlands	20€1151	21€276	22€1106	23€397	24€1067	25€63
Croatia	60€92	65€1729	70€123	75€534	80€449	85€18
Belgium	65€64	75€1563	80€1007	90€371	95€207	100€39
USA	110€29	130€485	140€101	150€88	160€58	170€79
Uruguay	140€76	150€66	160€198	170€28	180€91	850€13
Switzerland	140€111	150€61	160€150	180€181	190€187	200€59
Morocco	150€533	160€41	170€68	190€161	200€92	220€54
Senegal	170€103	180€146	190€27	200€130	210€17	230€57
Serbia	240€43	250€34	260€42	320€20	330€17	1000€12
Poland	270€67	280€88	290€69	300€29	310€26	320€47
Australia	160€13	300€418	310€181	330€89	340€36	350€293
Ghana	480€26	500€47	570€28	720€11	780€12	850€11
Japan	540€13	600€158	630€43	760€14	770€13	780€14
Cameroon	160€12	560€218	1000€882			
South Korea	220€12	470€14	1000€527			
Costa Rica	330€11	720€22	1000€1661			
