Brazil		1.01£13454	1.02£1812	1.03£671	1.04£288	1.06£718
Switzerland	1.63£172	1.64£25	1.66£6	1.69£4	1.7£508	1.71£41
Serbia	2.52£335	2.56£1	2.58£316	2.62£1	2.8£18	2.86£4
Cameroon	11.5£4	14.5£22	15£37	32£134	34£5	50£1
