France	1.12£125	1.13£1147	1.14£1040	1.15£1000	1.16£104	1.17£15
Denmark	1.32£635	1.33£277	1.35£26	1.37£23	1.4£2	1.41£93
Australia	5.1£560	5.2£51	5.3£15	5.4£64	5.5£9	5.6£545
Tunisia		4.5£195	4.9£130	5.1£207	5.5£1	6.2£7
