Portugal	1.08£577	1.09£42	1.1£19	1.11£149	1.12£258	1.13£172
Uruguay	1.64£2	1.67£351	1.69£164	1.73£12	1.74£3	1.78£12
South Korea	2.74£7	2.78£90	2.9£386	3.05£1	3.1£17	3.2£6
Ghana	5.1£117	5.3£1	5.5£78	6.4£5	6.6£3	7£6
