France	1.12€498	1.13€8735	1.14€3648	1.15€762	1.16€4389	1.18€13
Denmark	1.25€268	1.28€139	1.3€817	1.32€126	1.34€34	1.35€28
Australia	5€231	5.1€656	5.5€81	5.9€20	6.2€25	6.4€101
Tunisia	5€44	5.1€111	5.2€46	5.3€12	5.4€122	5.7€106
