France	1.01£500	1.02£7505	1.03£3568	1.05£4910	1.06£221	1.2£25
Denmark	1.49£3	1.51£209	1.53£49	1.57£16	1.68£2	1.77£3
Tunisia	3.45£4	3.8£82	3.9£49	3.95£232	4£1	4.1£17
Australia	7.6£19	8£39	8.2£3	8.4£27	8.6£5	9.4£10
