Brazil	3.45£960	3.5£1497	3.55£13419	3.6£6577	3.65£6739	3.7£10524
France	6.4£984	6.6£1517	6.8£9448	7£342	7.2£9324	7.4£7926
Spain	7.6£2307	7.8£750	8£8501	8.2£4240	8.4£3904	8.6£2418
Argentina	9.8£537	10£7869	10.5£4380	11£3451	11.5£302	12£296
England	10.5£6864	11£10359	11.5£9460	12£2896	12.5£602	13£341
Germany	14£2003	14.5£4540	15£4513	15.5£1699	16£686	16.5£221
Portugal	15£2926	15.5£6899	16£4375	16.5£2008	17£643	17.5£9
Netherlands	16.5£486	17£1664	17.5£5602	18£980	18.5£757	19£48
Croatia	55£351	60£511	65£552	70£836	75£200	80£164
Denmark	60£43	65£152	70£1205	75£317	80£300	85£102
Uruguay	65£130	70£327	75£498	80£294	85£847	90£191
Belgium	70£201	75£213	80£189	85£289	90£49	95£57
Ecuador	95£35	100£271	110£645	120£467	130£127	140£30
Switzerland	100£553	110£482	120£70	130£305	140£239	150£8
Morocco	130£154	140£170	150£103	160£152	170£28	180£6
Serbia	160£266	170£31	180£70	190£852	200£7	210£27
USA	210£6	220£53	230£64	240£221	250£46	260£24
Poland	250£17	280£38	290£45	300£2	310£8	330£5
Senegal	270£1	320£9	330£80	350£102	360£13	380£23
Australia	470£17	480£11	490£19	500£68	510£6	550£30
Japan	710£13	720£2	730£12	750£5	780£3	800£5
Iran	590£6	600£24	610£15	620£38	630£5	650£10
South Korea	520£54	530£8	540£6	560£15	570£17	590£8
Saudi Arabia	750£4	800£15	810£5	830£13	840£4	900£5
Mexico	750£14	760£4	770£4	800£48	970£4	
Cameroon	600£2	760£2	1000£531			
Ghana	360£1	430£4	1000£209			
Wales	330£21	500£2	1000£554			
Tunisia	550£2	600£1	1000£388			
Costa Rica	900£1	990£8	1000£1333			
