Brazil	2.92€117	2.94€9526	2.96€2020	2.98€905	3€19171	3.05€46279
France	5.6€55	5.7€9995	5.8€10978	5.9€2347	6€25917	6.2€1269
Argentina	7€8463	7.2€8726	7.4€7771	7.6€2462	7.8€1231	8€825
England	8.2€16373	8.4€6544	8.6€3241	8.8€11792	9€981	9.4€28
Spain	9.2€454	9.4€10328	9.6€6674	9.8€8043	10€7550	10.5€12141
Portugal	16.5€2482	17€3631	17.5€2120	18€2984	18.5€478	19€267
Netherlands	17€229	17.5€2369	18€2889	18.5€417	19€2316	19.5€355
Croatia	46€877	50€2557	55€1015	60€803	65€1249	70€81
Switzerland	95€62	100€2967	110€119	120€601	130€452	140€118
Morocco	130€801	140€841	150€107	170€97	180€93	190€23
