Spain	1.06£5	1.07£30	1.08£79	1.1£30	1.11£18	1.8£16
Japan	1.33£1	1.34£20	1.35£500	1.44£210	1.45£3	1.46£18
Germany	2.82£168	2.84£3	2.88£20	2.98£500	3£5	3.15£2
Costa Rica		50£10	55£7	95£2	750£2	
