Portugal	1.22£226	1.23£227	1.24£279	1.25£938	1.28£7	1.29£7
Uruguay	1.4£388	1.41£745	1.42£432	1.44£338	1.46£217	1.47£171
South Korea	3.55£70	3.6£88	3.7£131	3.95£9	4£50	4.1£27
Ghana	3.95£9	4£204	4.1£23	4.2£860	4.5£126	4.6£1
