Brazil	1.38€1197	1.39€422	1.4€287	1.42€101	1.43€141	1.45€185
England	1.57€201	1.58€591	1.59€577	1.64€33	1.65€80	1.66€212
Argentina	1.53€756	1.57€201	1.58€77	1.6€315	1.62€329	1.63€155
France	1.64€67	1.68€32	1.7€161	1.71€2135	1.75€23	1.77€19
Netherlands	1.69€735	1.71€61	1.73€128	1.74€397	1.75€382	1.9€40
Spain	1.74€80	1.75€146	1.76€20	1.81€345	1.82€200	1.83€23
Germany	1.83€377	1.84€111	1.87€149	1.92€50	1.93€120	1.94€269
Portugal	2.06€45	2.08€16	2.12€40	2.14€811	2.2€20	2.38€28
Belgium	2.3€11	2.36€153	2.38€115	2.44€52	2.5€23	2.52€12
Denmark	2.74€23	2.8€37	2.82€20	2.84€14	2.98€23	3€315
Uruguay	3.05€111	3.25€217	3.3€198	3.4€14	3.5€18	3.55€32
Croatia	3.8€171	3.85€15	4€25	4.2€14	4.3€11	4.4€349
Switzerland	4.7€48	4.8€34	5€289	5.1€64	5.5€15	6€15
Serbia	4.6€471	4.8€61	5.1€115	5.5€29	5.6€54	5.7€147
Senegal	4.9€142	5€25	5.1€13	5.6€16	5.9€16	6€11
USA	5.1€159	5.2€86	5.3€11	5.8€14	5.9€69	28€51
Mexico	5.7€30	5.9€150	6€132	6.6€50	7€11	30€42
Ecuador	6.2€37	6.4€26	6.6€27	7€249	7.6€27	8.6€16
Poland	5.9€97	6€154	6.2€11	6.6€55	8€14	16€24
Wales	6.2€11	6.4€118	6.6€30	7.4€55	8€15	11€17
Morocco	7.4€2	8.8€31	9.4€35	11€93	12€150	12.5€91
Japan	9.8€25	10€23	11€96	12€83	13.5€97	15.5€11
Qatar	9€8	12.5€26	13.5€36	18€26	19€124	21€20
Canada	13€16	14€13	14.5€82	16€228	20€30	26€11
Ghana	11€23	12.5€44	14€23	16€161	16.5€201	20€11
South Korea	12.5€43	13€100	15€24	20€18	50€36	
Iran	16.5€35	17€16	17.5€17	20€11	22€19	23€60
Australia	16.5€36	19€339	19.5€18	27€40	28€40	29€40
Cameroon	17.5€11	18.5€14	19€11	28€15	100€17	
Tunisia	15.5€11	16€30	19€12	20€66	22€100	23€11
Saudi Arabia	30€333	32€50	34€62	40€23	100€28	400€2
Costa Rica	34€13	40€18	46€50	150€19	200€2	
