Kylian Mbappe	1.52€760	1.53€390	1.54€33	1.56€203	1.57€643	1.58€50
Lionel Messi	4.3€814	4.4€541	4.5€800	4.6€231	4.7€166	4.8€349
Olivier Giroud	8.4€39	8.6€630	8.8€324	9€109	9.2€313	9.6€11
Julian Alvarez	26€11	46€13	120€14	180€27	230€28	700€5
Hakim Ziyech	150€17	200€24	810€20			
Andrej Kramaric	110€11	120€14	130€15	270€27	700€13	1000€6
Youssef En-Nesyri	95€11	130€11	230€24	330€29	350€17	900€39
Antoine Griezmann	1.01€2331	250€11	500€21	800€5		
Lautaro Martinez	18€27	500€21	510€17			
Ivan Perisic	510€15	610€13	620€38	990€5		
Luka Modric	5€145	250€58	600€14	1000€5		
Marko Livaja		2€4	70€12			
Angel Di Maria		1.01€1167	1000€17			
Sofiane Boufal		1.01€1168	1000€24			
Kingsley Coman		1.01€1165	1000€46			
Achraf Hakimi		1.01€1165	1000€36			
Ousmane Dembele	2€125	300€17	1000€20			
