France	2.14€9340	2.16€43407	2.18€55183	2.2€114674	2.22€44225	2.24€21009
Argentina	2.74€20337	2.76€10371	2.78€74	2.8€837	2.82€708	2.84€420
Croatia	8.6€842	8.8€2413	9€6284	9.2€16094	9.4€21282	9.6€19238
Morocco	12.5€7567	13€17935	13.5€24573	14€16488	14.5€9174	15€3078
