Morocco	1.06£500	1.1£345	1.11£159	1.13£765	1.14£392	
Belgium	1.72£70	2.5£306	2.52£14	2.58£393	2.62£42	2.66£13
Croatia	1.36£200	1.38£8	1.4£535	1.47£97	1.48£4	1.55£500
